symbol,exchange,price,bid_price,ask_price,volume,timestamp
AAPL,NASDAQ,175.25,175.20,175.30,2500000,2024-12-01 09:30:00
GOOGL,NASDAQ,142.80,142.75,142.85,1800000,2024-12-01 09:30:00
MSFT,NASDAQ,378.90,378.85,378.95,2200000,2024-12-01 09:30:00
TSLA,NASDAQ,248.50,248.40,248.60,5500000,2024-12-01 09:30:00
AMZN,NASDAQ,178.25,178.20,178.30,3100000,2024-12-01 09:30:00
SPY,ARCA,452.80,452.75,452.85,8900000,2024-12-01 09:30:00
QQQ,NASDAQ,396.25,396.20,396.30,4700000,2024-12-01 09:30:00
GLD,ARCA,198.75,198.70,198.80,1200000,2024-12-01 09:30:00
VIX,CBOE,18.25,18.20,18.30,950000,2024-12-01 09:30:00
BTC-USD,COINBASE,42850.00,42840.00,42860.00,125000,2024-12-01 09:30:00
