order_id,trader_id,symbol,side,quantity,price,timestamp,order_type,commission
ORD001,TRADER001,AAPL,BUY,500,172.25,2024-12-01 09:31:00,LIMIT,2.50
ORD002,TRADER001,AAPL,BUY,500,172.75,2024-12-01 09:32:30,LIMIT,2.50
ORD003,TRADER001,GOOGL,SELL,500,145.20,2024-12-01 09:33:15,MARKET,5.00
ORD004,TRADER002,TSLA,BUY,750,245.80,2024-12-01 09:34:00,LIMIT,7.50
ORD005,TRADER002,AMZN,BUY,1200,175.60,2024-12-01 09:35:30,LIMIT,12.00
ORD006,TRADER003,GLD,BUY,5000,196.25,2024-12-01 09:36:00,LIMIT,50.00
ORD007,TRADER003,VIX,SELL,1000,19.50,2024-12-01 09:37:15,MARKET,10.00
ORD008,TRADER004,QQQ,BUY,1500,392.80,2024-12-01 09:38:00,LIMIT,15.00
ORD009,TRADER002,MSFT,SELL,800,380.10,2024-12-01 09:39:30,LIMIT,8.00
ORD010,TRADER001,SPY,BUY,2500,450.25,2024-12-01 09:40:00,MARKET,25.00
